"날짜","종가","오픈","고가","저가","변동 %"
"2022년 07월 20일","194.04","193.60","194.51","193.15","0.29%"
"2022년 07월 19일","193.47","195.63","195.75","193.54","-1.02%"
"2022년 07월 18일","195.46","195.21","195.96","194.65","0.25%"
"2022년 07월 15일","194.98","195.02","196.58","194.88","0.10%"
"2022년 07월 14일","194.79","194.25","196.21","194.01","0.32%"
"2022년 07월 13일","194.16","194.27","194.84","193.49","0.06%"
"2022년 07월 12일","194.05","195.16","195.54","194.06","-0.53%"
"2022년 07월 11일","195.09","193.39","195.74","193.37","0.90%"
"2022년 07월 08일","193.35","193.66","194.49","193.02","-0.11%"
"2022년 07월 07일","193.57","194.57","195.07","193.38","-0.47%"
"2022년 07월 06일","194.48","194.81","195.29","194.22","-0.15%"
"2022년 07월 05일","194.77","193.48","196.01","193.08","0.72%"
"2022년 07월 04일","193.37","193.82","194.35","192.84","-0.19%"
"2022년 07월 01일","193.74","192.26","194.28","192.23","0.83%"
"2022년 06월 30일","192.15","194.32","194.66","192.16","-1.11%"
"2022년 06월 29일","194.30","192.66","194.45","192.21","0.89%"
"2022년 06월 28일","192.58","192.27","192.76","191.70","0.21%"
"2022년 06월 27일","192.17","192.73","193.34","191.54","-0.23%"
"2022년 06월 24일","192.61","194.10","194.48","192.55","-0.74%"
"2022년 06월 23일","194.04","193.62","195.02","193.41","0.28%"
"2022년 06월 22일","193.49","193.15","194.43","192.65","0.23%"
"2022년 06월 21일","193.05","193.13","193.37","192.38","0.07%"
"2022년 06월 20일","192.91","192.29","193.54","192.02","0.35%"
"2022년 06월 17일","192.23","192.23","193.26","191.35","0.04%"
"2022년 06월 16일","192.16","190.40","193.32","190.21","0.98%"
"2022년 06월 15일","190.29","191.35","192.65","190.35","-0.51%"
"2022년 06월 14일","191.26","191.26","191.77","190.83","0.04%"
"2022년 06월 13일","191.18","190.71","191.99","190.51","0.27%"
"2022년 06월 10일","190.67","188.93","191.37","188.74","0.96%"
"2022년 06월 09일","188.86","188.10","189.35","187.63","0.46%"
"2022년 06월 08일","188.00","188.13","188.49","187.60","0.01%"
"2022년 06월 07일","187.98","188.58","188.96","187.88","-0.28%"
"2022년 06월 06일","188.51","187.96","188.77","187.85","0.40%"
"2022년 06월 03일","187.75","186.35","188.01","185.95","0.83%"
"2022년 06월 02일","186.21","186.53","187.63","186.25","-0.13%"
"2022년 06월 01일","186.46","186.23","186.74","185.73","0.16%"
"2022년 05월 31일","186.17","185.51","186.71","185.26","0.43%"
"2022년 05월 30일","185.37","186.77","187.54","185.35","-0.81%"
"2022년 05월 27일","186.89","187.01","187.29","186.01","-0.03%"
"2022년 05월 26일","186.95","189.24","189.40","186.88","-1.18%"
"2022년 05월 25일","189.19","189.54","190.17","189.01","-0.16%"
"2022년 05월 24일","189.50","189.29","190.26","189.10","0.22%"
"2022년 05월 23일","189.08","189.81","190.21","189.21","-0.62%"
"2022년 05월 20일","190.26","188.30","190.82","188.16","1.21%"
"2022년 05월 19일","187.99","188.91","189.40","187.91","-0.43%"
"2022년 05월 18일","188.80","188.01","189.05","187.43","0.50%"
"2022년 05월 17일","187.86","188.71","188.93","187.93","-0.37%"
"2022년 05월 16일","188.56","188.33","189.49","187.98","0.15%"
"2022년 05월 13일","188.28","190.20","190.32","188.27","-0.98%"
"2022년 05월 12일","190.15","190.32","191.18","189.63","-0.04%"
"2022년 05월 11일","190.23","189.56","190.43","189.28","0.37%"
"2022년 05월 10일","189.53","189.43","190.59","189.07","0.13%"
"2022년 05월 09일","189.29","190.57","191.50","189.19","-0.61%"
"2022년 05월 06일","190.46","190.75","191.52","189.79","-0.09%"
"2022년 05월 05일","190.63","189.38","191.47","189.24","0.67%"
"2022년 05월 04일","189.36","190.80","191.80","189.24","-0.70%"
