"날짜","종가","오픈","고가","저가","변동 %"
"2022년 07월 20일","1,343.25","1,335.43","1,346.24","1,334.08","0.67%"
"2022년 07월 19일","1,334.35","1,337.94","1,345.31","1,328.27","-0.20%"
"2022년 07월 18일","1,337.02","1,330.44","1,341.04","1,326.34","0.59%"
"2022년 07월 15일","1,329.20","1,319.95","1,336.80","1,319.26","0.81%"
"2022년 07월 14일","1,318.52","1,313.19","1,329.46","1,308.95","0.45%"
"2022년 07월 13일","1,312.56","1,311.35","1,321.30","1,303.69","0.19%"
"2022년 07월 12일","1,310.04","1,316.54","1,318.74","1,308.96","-0.45%"
"2022년 07월 11일","1,315.92","1,317.26","1,326.41","1,314.75","-0.19%"
"2022년 07월 08일","1,318.37","1,318.66","1,324.15","1,312.42","0.01%"
"2022년 07월 07일","1,318.25","1,328.83","1,333.19","1,315.38","-0.75%"
"2022년 07월 06일","1,328.15","1,344.41","1,345.56","1,326.48","-1.16%"
"2022년 07월 05일","1,343.77","1,351.11","1,359.36","1,342.68","-0.48%"
"2022년 07월 04일","1,350.23","1,354.01","1,359.03","1,346.57","-0.30%"
"2022년 07월 01일","1,354.25","1,350.01","1,359.37","1,348.80","0.35%"
"2022년 06월 30일","1,349.57","1,359.95","1,361.76","1,349.09","-0.70%"
"2022년 06월 29일","1,359.05","1,359.56","1,366.95","1,356.57","0.00%"
"2022년 06월 28일","1,358.99","1,361.77","1,363.51","1,354.10","-0.17%"
"2022년 06월 27일","1,361.30","1,360.83","1,366.56","1,352.83","0.07%"
"2022년 06월 24일","1,360.29","1,368.84","1,370.44","1,357.85","-0.56%"
"2022년 06월 23일","1,367.97","1,371.20","1,378.74","1,364.51","-0.21%"
"2022년 06월 22일","1,370.89","1,360.18","1,375.77","1,358.94","0.83%"
"2022년 06월 21일","1,359.54","1,358.60","1,367.56","1,356.23","0.17%"
"2022년 06월 20일","1,357.28","1,352.46","1,364.14","1,352.26","0.13%"
"2022년 06월 17일","1,355.56","1,359.31","1,362.56","1,349.61","-0.24%"
"2022년 06월 16일","1,358.83","1,335.30","1,365.19","1,334.59","1.83%"
"2022년 06월 15일","1,334.38","1,343.71","1,357.07","1,335.11","-0.65%"
"2022년 06월 14일","1,343.10","1,344.85","1,349.37","1,341.31","-0.06%"
"2022년 06월 13일","1,343.96","1,345.20","1,352.65","1,340.87","-0.09%"
"2022년 06월 10일","1,345.20","1,342.27","1,351.92","1,339.30","0.26%"
"2022년 06월 09일","1,341.65","1,347.23","1,353.31","1,340.18","-0.36%"
"2022년 06월 08일","1,346.55","1,342.81","1,350.73","1,339.58","0.34%"
"2022년 06월 07일","1,342.04","1,342.01","1,345.73","1,338.90","0.04%"
"2022년 06월 06일","1,341.51","1,341.84","1,346.16","1,337.92","0.08%"
"2022년 06월 03일","1,340.50","1,333.73","1,342.44","1,331.90","0.57%"
"2022년 06월 02일","1,332.85","1,328.05","1,338.07","1,327.15","0.39%"
"2022년 06월 01일","1,327.69","1,333.81","1,336.81","1,323.35","-0.42%"
"2022년 05월 31일","1,333.27","1,332.60","1,336.04","1,323.97","0.19%"
"2022년 05월 30일","1,330.80","1,344.84","1,345.52","1,329.41","-0.91%"
"2022년 05월 27일","1,343.01","1,351.79","1,355.25","1,337.29","-0.61%"
"2022년 05월 26일","1,351.25","1,352.93","1,356.26","1,350.54","-0.09%"
"2022년 05월 25일","1,352.53","1,354.08","1,356.65","1,347.78","-0.08%"
"2022년 05월 24일","1,353.59","1,345.86","1,358.23","1,344.07","0.67%"
