"날짜","종가","오픈","고가","저가","변동 %"
"2018년 03월 08일","1,074.11","1,067.43","1,076.05","1,066.80","0.63%"
"2018년 03월 07일","1,067.43","1,063.96","1,071.49","1,063.80","0.33%"
"2018년 03월 06일","1,063.96","1,077.67","1,078.98","1,060.47","-1.27%"
"2018년 03월 05일","1,077.67","1,079.59","1,083.49","1,076.81","-0.19%"
"2018년 03월 02일","1,079.69","1,082.84","1,085.84","1,077.04","-0.29%"
"2018년 03월 01일","1,082.84","1,085.21","1,088.58","1,080.98","-0.22%"
"2018년 02월 28일","1,085.21","1,081.45","1,085.38","1,079.43","0.35%"
"2018년 02월 27일","1,081.45","1,070.67","1,081.91","1,068.80","1.01%"
"2018년 02월 26일","1,070.67","1,076.99","1,078.11","1,069.33","-0.59%"
"2018년 02월 23일","1,077.00","1,080.72","1,082.40","1,075.52","-0.34%"
"2018년 02월 22일","1,080.72","1,076.01","1,086.40","1,075.75","0.44%"
"2018년 02월 21일","1,076.02","1,074.91","1,078.11","1,070.93","0.10%"
"2018년 02월 20일","1,074.91","1,067.41","1,075.95","1,067.33","0.70%"
"2018년 02월 19일","1,067.41","1,066.61","1,070.61","1,065.76","0.02%"
"2018년 02월 16일","1,067.19","1,064.04","1,069.39","1,061.86","0.29%"
"2018년 02월 15일","1,064.14","1,070.91","1,073.29","1,063.05","-0.63%"
"2018년 02월 14일","1,070.91","1,085.06","1,086.34","1,070.57","-1.30%"
"2018년 02월 13일","1,085.05","1,082.61","1,087.57","1,080.65","0.23%"
"2018년 02월 12일","1,082.60","1,084.61","1,087.07","1,081.90","-0.28%"
"2018년 02월 09일","1,085.67","1,097.58","1,098.40","1,084.90","-1.09%"
"2018년 02월 08일","1,097.58","1,090.24","1,098.93","1,085.58","0.67%"
"2018년 02월 07일","1,090.24","1,080.06","1,090.57","1,079.52","0.94%"
"2018년 02월 06일","1,080.06","1,095.13","1,099.40","1,078.72","-1.35%"
"2018년 02월 05일","1,094.84","1,089.65","1,095.04","1,085.45","0.45%"
"2018년 02월 02일","1,089.95","1,071.10","1,090.58","1,070.42","1.78%"
"2018년 02월 01일","1,070.94","1,070.12","1,074.90","1,068.72","0.08%"
"2018년 01월 31일","1,070.08","1,073.23","1,074.80","1,064.99","-0.29%"
"2018년 01월 30일","1,073.23","1,070.95","1,075.63","1,068.54","0.21%"
"2018년 01월 29일","1,070.95","1,064.50","1,073.01","1,062.50","0.59%"
"2018년 01월 26일","1,064.67","1,066.47","1,067.60","1,061.00","-0.13%"
"2018년 01월 25일","1,066.06","1,064.57","1,067.20","1,055.97","0.10%"
"2018년 01월 24일","1,064.98","1,073.89","1,074.00","1,062.21","-0.83%"
"2018년 01월 23일","1,073.89","1,069.40","1,078.20","1,066.90","0.42%"
"2018년 01월 22일","1,069.40","1,067.66","1,071.81","1,066.52","0.16%"
