"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 07월 20일","106.98","106.68","107.10","106.39","-","0.28%"
"2022년 07월 19일","106.68","107.44","107.63","106.40","-","-0.71%"
"2022년 07월 18일","107.44","107.86","107.96","106.89","-","-0.39%"
"2022년 07월 17일","107.86","107.98","108.04","107.86","-","-0.12%"
"2022년 07월 15일","107.98","108.57","108.71","107.91","-","-0.54%"
"2022년 07월 14일","108.57","108.27","109.29","108.20","-","0.28%"
"2022년 07월 13일","108.27","108.21","108.58","107.48","-","0.06%"
"2022년 07월 12일","108.21","108.16","108.56","107.84","-","0.04%"
"2022년 07월 11일","108.16","107.08","108.27","107.08","-","1.01%"
"2022년 07월 10일","107.08","106.89","107.09","106.89","-","0.17%"
"2022년 07월 08일","106.89","107.00","107.79","106.81","-","-0.22%"
"2022년 07월 07일","107.13","107.07","107.24","106.71","-","0.03%"
"2022년 07월 06일","107.10","106.49","107.26","106.36","-","0.53%"
"2022년 07월 05일","106.54","105.14","106.79","105.05","-","1.33%"
"2022년 07월 04일","105.14","105.12","105.25","104.82","-","0.00%"
"2022년 07월 01일","105.14","104.78","105.64","104.74","-","0.43%"
"2022년 06월 30일","104.68","105.06","105.54","104.64","-","-0.40%"
"2022년 06월 29일","105.11","104.46","105.15","104.36","-","0.57%"
"2022년 06월 28일","104.51","103.97","104.61","103.77","-","0.55%"
"2022년 06월 27일","103.94","104.12","104.21","103.67","-","-0.24%"
"2022년 06월 24일","104.18","104.38","104.51","103.95","-","-0.24%"
"2022년 06월 23일","104.43","104.21","104.77","104.06","-","0.22%"
"2022년 06월 22일","104.20","104.43","104.95","103.86","-","-0.23%"
"2022년 06월 21일","104.43","104.44","104.54","103.94","-","-0.25%"
"2022년 06월 20일","104.70","104.65","104.82","104.23","-","0.00%"
"2022년 06월 17일","104.70","103.88","105.08","103.83","-","1.03%"
"2022년 06월 16일","103.63","104.90","105.49","103.42","-","-1.45%"
"2022년 06월 15일","105.16","105.35","105.79","104.66","-","-0.34%"
"2022년 06월 14일","105.52","105.19","105.65","104.62","-","0.42%"
"2022년 06월 13일","105.08","104.19","105.29","104.21","-","0.89%"
"2022년 06월 10일","104.15","103.34","104.23","103.05","-","0.90%"
"2022년 06월 09일","103.22","102.56","103.37","102.15","-","0.66%"
"2022년 06월 08일","102.54","102.39","102.78","102.27","-","0.22%"
"2022년 06월 07일","102.32","102.49","102.84","102.26","-","-0.12%"
"2022년 06월 06일","102.44","102.17","102.47","101.85","-","0.29%"
"2022년 06월 03일","102.14","101.75","102.22","101.64","-","0.31%"
"2022년 06월 02일","101.82","102.55","102.62","101.74","-","-0.66%"
"2022년 06월 01일","102.50","101.76","102.73","101.74","-","0.73%"
"2022년 05월 31일","101.75","101.43","102.17","101.41","-","0.08%"
