"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2000년 01월 03일","100.22","101.67","101.83","100.19","-","-1.62%"
"2000년 01월 04일","100.41","100.55","100.86","100.01","-","0.19%"
"2000년 01월 05일","100.38","100.42","100.47","99.71","-","-0.03%"
"2000년 01월 06일","100.65","100.31","100.81","99.81","-","0.27%"
"2000년 01월 07일","100.80","100.49","100.93","100.44","-","0.15%"
"2000년 01월 10일","100.99","100.70","101.18","100.65","-","0.19%"
"2000년 01월 11일","100.56","101.03","101.10","100.49","-","-0.43%"
"2000년 01월 12일","100.62","100.51","100.98","100.24","-","0.06%"
"2000년 01월 13일","101.00","100.69","101.14","100.57","-","0.38%"
"2000년 01월 14일","101.72","100.95","101.97","100.88","-","0.71%"
"2000년 01월 17일","102.05","101.81","102.10","101.61","-","0.32%"
"2000년 01월 18일","101.86","101.75","102.11","101.64","-","-0.19%"
"2000년 01월 19일","101.76","101.67","102.08","101.56","-","-0.10%"
"2000년 01월 20일","101.36","101.77","102.07","101.22","-","-0.39%"
"2000년 01월 21일","101.76","101.36","102.05","101.12","-","0.39%"
"2000년 01월 24일","102.20","102.23","102.49","101.91","-","0.43%"
"2000년 01월 25일","102.41","102.02","102.61","101.84","-","0.21%"
"2000년 01월 26일","102.44","102.41","102.61","102.14","-","0.03%"
"2000년 01월 27일","103.17","102.57","103.28","102.38","-","0.71%"
"2000년 01월 28일","104.48","103.18","104.74","103.14","-","1.27%"
"2000년 01월 31일","105.13","104.45","105.28","104.02","-","0.62%"
"2000년 02월 01일","104.92","104.98","105.31","104.54","-","-0.20%"
"2000년 02월 02일","104.79","104.97","105.36","104.44","-","-0.12%"
"2000년 02월 03일","103.80","104.69","105.20","103.42","-","-0.94%"
"2000년 02월 04일","104.29","103.75","104.87","103.50","-","0.47%"
"2000년 02월 07일","104.64","104.30","104.91","104.20","-","0.34%"
"2000년 02월 08일","104.22","104.59","104.77","103.85","-","-0.40%"
"2000년 02월 09일","103.68","104.17","104.23","103.39","-","-0.52%"
"2000년 02월 10일","104.13","103.57","104.34","103.36","-","0.43%"
"2000년 02월 11일","104.19","104.20","104.82","104.11","-","0.06%"
"2000년 02월 14일","104.72","104.20","104.93","103.83","-","0.51%"
"2000년 02월 15일","104.69","104.85","105.08","104.31","-","-0.03%"
"2000년 02월 16일","104.28","104.66","104.84","104.22","-","-0.39%"
"2000년 02월 17일","104.27","104.29","104.61","103.67","-","-0.01%"
"2000년 02월 18일","104.63","104.35","104.94","104.18","-","0.35%"
"2000년 02월 21일","104.58","104.39","104.72","104.29","-","-0.05%"
"2000년 02월 22일","103.28","104.42","104.51","102.99","-","-1.24%"
"2000년 02월 23일","103.53","103.23","103.65","102.92","-","0.24%"
"2000년 02월 24일","104.01","103.49","104.42","103.37","-","0.46%"
"2000년 02월 25일","105.26","104.22","105.50","104.12","-","1.20%"
"2000년 02월 28일","105.27","105.28","106.86","105.24","-","0.01%"
"2000년 02월 29일","105.92","105.63","106.22","105.04","-","0.62%"
"2000년 03월 01일","104.89","106.22","106.22","104.66","-","-0.97%"
"2000년 03월 02일","105.65","105.20","105.96","104.59","-","0.72%"
"2000년 03월 03일","106.00","105.92","106.14","105.55","-","0.33%"
"2000년 03월 06일","106.16","106.21","106.35","105.47","-","0.15%"
"2000년 03월 07일","106.09","106.21","106.39","105.84","-","-0.07%"
"2000년 03월 08일","105.93","105.99","106.61","105.74","-","-0.15%"
"2000년 03월 09일","105.37","105.76","105.97","105.22","-","-0.53%"
"2000년 03월 10일","105.71","105.46","105.95","105.28","-","0.32%"
"2000년 03월 13일","105.50","105.76","105.80","104.84","-","-0.20%"
"2000년 03월 14일","105.30","105.54","105.89","105.21","-","-0.19%"
"2000년 03월 15일","105.38","105.25","105.67","105.11","-","0.08%"
"2000년 03월 16일","105.18","105.59","105.63","104.96","-","-0.19%"
"2000년 03월 17일","105.20","105.17","105.61","105.15","-","0.02%"
"2000년 03월 20일","105.15","105.32","105.54","105.08","-","-0.05%"
"2000년 03월 21일","105.81","105.15","105.84","105.12","-","0.63%"
"2000년 03월 22일","106.04","106.21","106.34","105.80","-","0.22%"
"2000년 03월 23일","105.23","106.02","106.15","105.11","-","-0.76%"
"2000년 03월 24일","104.77","105.20","105.45","104.65","-","-0.44%"
"2000년 03월 27일","105.45","104.67","105.66","104.48","-","0.65%"
"2000년 03월 28일","105.53","105.38","105.64","104.95","-","0.08%"
"2000년 03월 29일","106.25","105.84","106.52","105.61","-","0.68%"
"2000년 03월 30일","105.47","106.07","106.22","105.38","-","-0.73%"
"2000년 03월 31일","105.44","105.51","105.84","105.16","-","-0.03%"
"2000년 04월 03일","105.54","105.61","106.18","105.35","-","0.09%"
"2000년 04월 04일","105.17","105.79","106.15","104.23","-","-0.35%"
"2000년 04월 05일","105.29","105.27","105.54","104.71","-","0.11%"
"2000년 04월 06일","105.52","105.44","105.73","105.16","-","0.22%"
"2000년 04월 07일","105.97","105.71","106.06","105.47","-","0.43%"
"2000년 04월 10일","105.68","106.08","106.14","105.55","-","-0.27%"
"2000년 04월 11일","105.94","105.58","106.10","105.48","-","0.25%"
"2000년 04월 12일","105.96","105.89","106.31","105.67","-","0.02%"
"2000년 04월 13일","106.14","105.75","106.36","105.68","-","0.17%"
"2000년 04월 14일","105.75","106.28","106.42","105.51","-","-0.37%"
"2000년 04월 17일","106.13","105.30","106.19","104.96","-","0.36%"
"2000년 04월 18일","106.63","106.55","106.74","106.24","-","0.47%"
"2000년 04월 19일","107.13","106.76","107.48","106.45","-","0.47%"
"2000년 04월 20일","107.45","107.12","107.55","106.90","-","0.30%"
"2000년 04월 24일","107.28","107.08","107.37","106.78","-","-0.16%"
"2000년 04월 25일","108.69","107.32","109.00","107.24","-","1.31%"
"2000년 04월 26일","108.55","108.62","108.93","108.29","-","-0.13%"
"2000년 04월 27일","109.57","108.55","109.94","108.43","-","0.94%"
"2000년 04월 28일","110.14","109.53","110.32","109.41","-","0.52%"
"2000년 05월 01일","109.63","109.90","110.35","109.60","-","-0.46%"
"2000년 05월 02일","110.26","109.61","110.61","109.51","-","0.57%"
"2000년 05월 03일","111.26","110.03","111.82","109.98","-","0.91%"
"2000년 05월 04일","111.80","111.34","112.23","111.21","-","0.49%"
"2000년 05월 05일","111.31","111.61","111.96","110.96","-","-0.44%"
"2000년 05월 08일","111.45","111.31","111.86","110.82","-","0.13%"
"2000년 05월 09일","110.75","111.34","111.65","110.66","-","-0.63%"
"2000년 05월 10일","110.80","110.68","110.88","110.30","-","0.05%"
"2000년 05월 11일","111.52","111.19","111.53","110.67","-","0.65%"
"2000년 05월 12일","109.90","111.25","111.51","109.80","-","-1.45%"
"2000년 05월 15일","110.56","109.91","110.58","109.81","-","0.60%"
"2000년 05월 16일","111.31","110.88","111.40","110.64","-","0.68%"
"2000년 05월 17일","112.10","111.66","112.60","111.28","-","0.71%"
"2000년 05월 18일","112.21","111.97","112.47","111.85","-","0.10%"
