time,Open,High,Low,Close
2000-01-03,101.67,101.83,100.19,100.22
2000-01-04,100.55,100.86,100.01,100.41
2000-01-05,100.42,100.47,99.71,100.38
2000-01-06,100.31,100.81,99.81,100.65
2000-01-07,100.49,100.93,100.44,100.8
2000-01-10,100.7,101.18,100.65,100.99
2000-01-11,101.03,101.1,100.49,100.56
2000-01-12,100.51,100.98,100.24,100.62
2000-01-13,100.69,101.14,100.57,101.0
2000-01-14,100.95,101.97,100.88,101.72
2000-01-17,101.81,102.1,101.61,102.05
2000-01-18,101.75,102.11,101.64,101.86
2000-01-19,101.67,102.08,101.56,101.76
2000-01-20,101.77,102.07,101.22,101.36
2000-01-21,101.36,102.05,101.12,101.76
2000-01-24,102.23,102.49,101.91,102.2
2000-01-25,102.02,102.61,101.84,102.41
2000-01-26,102.41,102.61,102.14,102.44
2000-01-27,102.57,103.28,102.38,103.17
2000-01-28,103.18,104.74,103.14,104.48
2000-01-31,104.45,105.28,104.02,105.13
2000-02-01,104.98,105.31,104.54,104.92
2000-02-02,104.97,105.36,104.44,104.79
2000-02-03,104.69,105.2,103.42,103.8
2000-02-04,103.75,104.87,103.5,104.29
2000-02-07,104.3,104.91,104.2,104.64
2000-02-08,104.59,104.77,103.85,104.22
2000-02-09,104.17,104.23,103.39,103.68
2000-02-10,103.57,104.34,103.36,104.13
2000-02-11,104.2,104.82,104.11,104.19
2000-02-14,104.2,104.93,103.83,104.72
2000-02-15,104.85,105.08,104.31,104.69
2000-02-16,104.66,104.84,104.22,104.28
2000-02-17,104.29,104.61,103.67,104.27
2000-02-18,104.35,104.94,104.18,104.63
2000-02-21,104.39,104.72,104.29,104.58
2000-02-22,104.42,104.51,102.99,103.28
2000-02-23,103.23,103.65,102.92,103.53
2000-02-24,103.49,104.42,103.37,104.01
2000-02-25,104.22,105.5,104.12,105.26
2000-02-28,105.28,106.86,105.24,105.27
2000-02-29,105.63,106.22,105.04,105.92
2000-03-01,106.22,106.22,104.66,104.89
2000-03-02,105.2,105.96,104.59,105.65
2000-03-03,105.92,106.14,105.55,106.0
2000-03-06,106.21,106.35,105.47,106.16
2000-03-07,106.21,106.39,105.84,106.09
2000-03-08,105.99,106.61,105.74,105.93
2000-03-09,105.76,105.97,105.22,105.37
2000-03-10,105.46,105.95,105.28,105.71
2000-03-13,105.76,105.8,104.84,105.5
2000-03-14,105.54,105.89,105.21,105.3
2000-03-15,105.25,105.67,105.11,105.38
2000-03-16,105.59,105.63,104.96,105.18
2000-03-17,105.17,105.61,105.15,105.2
2000-03-20,105.32,105.54,105.08,105.15
2000-03-21,105.15,105.84,105.12,105.81
2000-03-22,106.21,106.34,105.8,106.04
2000-03-23,106.02,106.15,105.11,105.23
2000-03-24,105.2,105.45,104.65,104.77
2000-03-27,104.67,105.66,104.48,105.45
2000-03-28,105.38,105.64,104.95,105.53
2000-03-29,105.84,106.52,105.61,106.25
2000-03-30,106.07,106.22,105.38,105.47
2000-03-31,105.51,105.84,105.16,105.44
2000-04-03,105.61,106.18,105.35,105.54
2000-04-04,105.79,106.15,104.23,105.17
2000-04-05,105.27,105.54,104.71,105.29
2000-04-06,105.44,105.73,105.16,105.52
2000-04-07,105.71,106.06,105.47,105.97
2000-04-10,106.08,106.14,105.55,105.68
2000-04-11,105.58,106.1,105.48,105.94
2000-04-12,105.89,106.31,105.67,105.96
2000-04-13,105.75,106.36,105.68,106.14
2000-04-14,106.28,106.42,105.51,105.75
2000-04-17,105.3,106.19,104.96,106.13
2000-04-18,106.55,106.74,106.24,106.63
2000-04-19,106.76,107.48,106.45,107.13
2000-04-20,107.12,107.55,106.9,107.45
2000-04-24,107.08,107.37,106.78,107.28
2000-04-25,107.32,109.0,107.24,108.69
2000-04-26,108.62,108.93,108.29,108.55
2000-04-27,108.55,109.94,108.43,109.57
2000-04-28,109.53,110.32,109.41,110.14
2000-05-01,109.9,110.35,109.6,109.63
2000-05-02,109.61,110.61,109.51,110.26
2000-05-03,110.03,111.82,109.98,111.26
2000-05-04,111.34,112.23,111.21,111.8
2000-05-05,111.61,111.96,110.96,111.31
2000-05-08,111.31,111.86,110.82,111.45
2000-05-09,111.34,111.65,110.66,110.75
2000-05-10,110.68,110.88,110.3,110.8
2000-05-11,111.19,111.53,110.67,111.52
2000-05-12,111.25,111.51,109.8,109.9
2000-05-15,109.91,110.58,109.81,110.56
2000-05-16,110.88,111.4,110.64,111.31
2000-05-17,111.66,112.6,111.28,112.1
2000-05-18,111.97,112.47,111.85,112.21
2000-05-19,112.03,112.86,111.32,111.47
2000-05-22,111.48,111.78,110.86,111.06
2000-05-23,111.21,111.46,110.24,111.14
2000-05-24,111.02,111.38,110.69,111.22
2000-05-25,111.5,111.97,110.73,110.75
2000-05-26,110.69,110.87,109.0,109.12
2000-05-30,109.03,109.49,108.18,108.93
2000-05-31,109.16,109.52,108.6,108.74
2000-06-01,108.65,109.42,108.6,109.05
2000-06-02,109.12,109.29,107.4,108.12
2000-06-05,107.81,108.04,107.39,107.46
2000-06-06,107.59,107.67,106.23,106.59
2000-06-07,106.64,106.83,106.08,106.18
2000-06-08,106.3,107.11,105.56,106.71
2000-06-09,106.87,107.61,106.67,106.99
2000-06-12,107.06,107.37,106.72,106.97
2000-06-13,106.95,107.06,106.1,106.4
2000-06-14,106.53,106.64,106.02,106.46
2000-06-15,106.61,107.14,106.42,106.88
2000-06-16,106.87,107.12,105.92,105.96
2000-06-19,106.0,106.44,105.59,106.33
2000-06-20,106.42,106.77,106.04,106.33
2000-06-21,106.67,107.61,106.56,107.43
2000-06-22,107.47,108.01,107.19,107.71
2000-06-23,107.82,108.2,107.37,108.01
2000-06-26,108.06,108.64,107.93,108.11
2000-06-27,108.15,108.3,107.33,107.36
2000-06-28,107.42,107.97,107.34,107.6
2000-06-29,107.58,107.7,106.65,106.84
2000-06-30,106.86,107.03,106.37,106.84
2000-07-03,106.82,107.32,106.8,107.06
2000-07-04,107.35,107.48,107.01,107.29
2000-07-05,106.95,107.26,106.79,107.12
2000-07-06,107.19,107.47,106.7,107.37
2000-07-07,107.41,107.69,107.17,107.65
2000-07-10,107.53,107.55,106.95,107.01
2000-07-11,106.99,107.35,106.78,107.14
2000-07-12,107.13,108.29,107.08,108.12
2000-07-13,108.16,108.89,108.04,108.54
2000-07-14,108.56,108.93,108.33,108.45
2000-07-17,108.32,108.88,108.29,108.7
2000-07-18,108.62,109.66,108.54,109.38
2000-07-19,109.55,109.92,109.35,109.59
2000-07-20,109.36,109.86,108.56,108.61
2000-07-21,108.63,108.88,108.33,108.42
2000-07-24,108.51,108.85,108.35,108.69
2000-07-25,108.72,108.77,107.95,108.38
2000-07-26,108.26,108.36,107.83,108.11
2000-07-27,107.98,108.95,107.9,108.89
2000-07-28,108.87,109.87,108.75,109.74
2000-07-31,109.76,109.89,109.39,109.57
2000-08-01,109.5,110.25,109.35,110.05
2000-08-02,110.46,110.78,110.08,110.67
2000-08-03,110.37,111.65,110.14,110.98
2000-08-04,110.95,111.39,110.62,110.85
2000-08-07,110.85,111.14,110.6,110.8
2000-08-08,110.82,111.59,110.72,111.32
2000-08-09,111.26,111.71,111.18,111.44
2000-08-10,111.25,111.29,110.68,110.9
2000-08-11,110.85,111.29,110.29,111.21
2000-08-14,111.21,111.59,111.03,111.08
2000-08-15,111.03,111.11,110.42,110.51
2000-08-16,110.53,111.0,110.11,110.26
2000-08-17,110.22,110.58,110.1,110.11
2000-08-18,110.2,111.06,110.1,111.01
2000-08-21,110.93,111.56,110.87,111.46
2000-08-22,111.41,112.05,111.25,111.79
2000-08-23,111.81,112.26,111.37,111.42
2000-08-24,111.26,111.52,110.99,111.23
2000-08-25,111.3,111.69,110.84,111.35
2000-08-28,111.26,111.58,111.07,111.46
2000-08-29,111.45,112.35,111.31,112.2
2000-08-30,112.19,112.78,112.11,112.14
2000-08-31,111.98,112.93,111.78,112.6
2000-09-01,112.36,112.6,111.25,111.42
2000-09-05,111.61,112.77,111.5,112.41
2000-09-06,112.45,114.24,112.32,114.12
2000-09-07,114.06,114.8,113.44,113.65
2000-09-08,113.79,114.9,113.63,114.34
2000-09-11,114.81,115.59,114.12,115.37
2000-09-12,115.35,115.78,114.56,115.17
2000-09-13,115.02,115.48,114.52,115.34
2000-09-14,115.54,115.76,114.23,115.16
2000-09-15,115.16,115.99,114.66,115.94
2000-09-18,116.11,116.31,115.73,116.0
2000-09-19,115.95,116.54,115.75,116.11
2000-09-20,116.13,116.75,115.94,116.41
2000-09-21,116.19,116.54,115.16,115.27
2000-09-22,115.0,115.34,111.62,113.56
2000-09-25,113.42,114.2,113.15,114.06
2000-09-26,113.86,114.0,113.08,113.16
2000-09-27,113.15,113.59,112.64,113.11
2000-09-28,113.03,113.49,112.89,113.31
2000-09-29,113.32,113.96,112.96,113.25
2000-10-02,113.14,113.89,112.95,113.79
2000-10-03,113.76,114.36,113.74,114.22
2000-10-04,114.04,114.5,113.89,114.17
2000-10-05,114.18,114.84,113.85,114.74
2000-10-06,114.77,115.03,114.24,114.85
2000-10-09,114.66,114.83,114.59,114.81
2000-10-10,114.87,115.0,114.14,114.36
2000-10-11,114.27,114.6,113.87,114.49
2000-10-12,114.7,115.08,114.55,114.89
2000-10-13,115.02,115.96,114.62,115.86
2000-10-16,115.81,116.73,115.68,116.39
2000-10-17,116.3,116.67,115.82,115.89
2000-10-18,115.89,117.87,115.51,117.33
2000-10-19,117.17,117.48,116.72,116.94
2000-10-20,116.88,117.84,116.53,117.16
2000-10-23,117.19,117.65,117.04,117.54
2000-10-24,117.51,117.66,117.06,117.42
2000-10-25,117.52,118.76,117.33,118.49
2000-10-26,118.49,119.07,118.14,118.5
2000-10-27,118.34,118.52,117.0,117.39
2000-10-30,117.37,117.51,116.1,117.25
2000-10-31,117.52,117.69,116.57,116.65
2000-11-01,116.6,116.82,115.49,115.56
2000-11-02,115.53,116.03,112.75,115.61
2000-11-03,115.84,115.88,113.92,114.97
2000-11-06,114.92,116.14,114.35,115.69
2000-11-07,115.46,115.95,115.15,115.52
2000-11-08,115.62,116.62,114.8,116.23
2000-11-09,116.28,116.62,115.1,115.34
2000-11-10,115.26,115.9,114.89,115.79
2000-11-13,115.73,116.04,115.27,115.7
2000-11-14,116.01,116.4,115.63,116.22
2000-11-15,116.1,116.58,115.63,116.35
2000-11-16,116.32,116.99,116.17,116.93
2000-11-17,116.74,117.35,116.38,117.31
2000-11-20,117.2,117.7,117.05,117.35
2000-11-21,117.11,118.1,116.92,117.95
2000-11-22,117.86,118.19,117.37,117.85
2000-11-23,117.87,118.14,117.8,118.09
2000-11-24,118.37,118.69,118.02,118.48
2000-11-27,118.54,118.61,117.01,117.1
2000-11-28,117.08,117.27,116.42,116.58
2000-11-29,116.63,116.72,115.63,116.61
2000-11-30,116.62,116.74,115.05,115.24
2000-12-01,115.21,115.44,114.61,114.73
2000-12-04,114.7,114.94,113.26,113.71
2000-12-05,113.97,114.6,113.45,114.47
2000-12-06,114.51,114.73,113.29,113.31
2000-12-07,113.24,113.87,112.79,113.54
2000-12-08,113.63,114.11,113.29,114.05
2000-12-11,114.07,114.45,113.64,114.29
2000-12-12,114.3,114.71,113.79,114.26
2000-12-13,114.29,115.18,114.15,114.71
2000-12-14,114.48,114.71,113.26,113.38
2000-12-15,113.14,113.29,112.48,112.9
2000-12-18,112.98,113.2,112.37,113.07
2000-12-19,112.9,113.66,112.8,113.21
2000-12-20,113.07,113.13,111.93,111.97
2000-12-21,111.93,112.26,111.19,111.51
2000-12-22,111.33,111.5,110.47,110.82
2000-12-26,110.46,110.56,110.3,110.31
2000-12-27,110.31,110.6,110.05,110.32
2000-12-28,110.2,110.83,110.14,110.38
2000-12-29,110.39,110.5,109.46,109.56
2001-01-02,109.33,109.65,108.64,108.77
2001-01-03,108.59,110.34,108.09,110.17
2001-01-04,110.3,110.4,108.51,108.81
2001-01-05,108.64,109.31,108.26,108.42
2001-01-08,108.33,109.19,108.23,108.86
2001-01-09,109.19,109.96,109.08,109.52
2001-01-10,109.6,109.96,109.26,109.86
2001-01-11,110.09,110.1,108.73,109.01
2001-01-12,109.07,109.62,108.56,109.36
2001-01-15,109.94,110.14,109.58,109.97
2001-01-16,110.17,110.43,109.94,110.11
2001-01-17,110.06,111.1,109.82,110.81
2001-01-18,110.68,110.8,109.73,109.94
2001-01-19,110.04,110.69,109.37,110.66
2001-01-22,110.53,111.27,110.05,110.24
2001-01-23,110.15,110.4,109.74,110.24
2001-01-24,110.49,111.87,110.41,111.68
2001-01-25,111.68,112.65,111.41,111.61
2001-01-26,111.34,111.83,110.68,111.46
2001-01-29,111.53,111.88,111.21,111.77
2001-01-30,111.81,112.08,110.89,110.98
2001-01-31,111.0,111.18,110.4,110.52
2001-02-01,110.3,110.32,109.4,109.66
2001-02-02,109.97,110.52,109.57,110.32
2001-02-05,110.2,110.36,109.48,109.89
2001-02-06,110.01,110.93,109.92,110.77
2001-02-07,110.67,111.23,110.48,110.89
2001-02-08,111.07,112.22,110.98,112.06
2001-02-09,111.99,112.57,111.39,111.52
2001-02-12,111.65,111.66,111.04,111.19
2001-02-13,111.09,112.25,111.04,111.96
2001-02-14,111.97,112.26,111.75,112.04
2001-02-15,112.08,113.28,111.97,113.2
2001-02-16,113.08,113.12,112.05,112.26
