time,Open,High,Low,Close
2000-01-03,136.11,136.17,136.11,136.17
2000-01-04,135.51,135.57,135.51,135.57
2000-01-05,136.96,137.02,136.96,137.02
2000-01-06,138.41,138.44,138.41,138.44
2000-01-07,137.33,137.39,137.33,137.39
2000-01-10,136.85,136.88,136.85,136.88
2000-01-11,138.29,138.41,138.29,138.41
2000-01-12,138.17,138.2,138.17,138.2
2000-01-13,137.08,137.11,137.08,137.11
2000-01-14,135.75,135.81,135.75,135.81
2000-01-17,135.28,135.34,135.28,135.34
2000-01-18,136.0,136.06,136.0,136.06
2000-01-19,136.84,136.9,136.84,136.9
2000-01-20,135.88,135.94,135.88,135.94
2000-01-21,136.12,136.18,136.12,136.18
2000-01-24,135.77,135.8,135.77,135.8
2000-01-25,136.13,136.13,136.13,136.13
2000-01-26,136.16,136.2,136.16,136.2
2000-01-27,135.9,135.9,135.9,135.9
2000-01-28,135.3,135.36,135.3,135.36
2000-01-31,135.67,135.73,135.67,135.73
2000-02-01,136.03,136.09,136.03,136.09
2000-02-02,136.52,136.58,136.52,136.58
2000-02-03,136.44,136.5,136.44,136.5
2000-02-04,136.37,136.43,136.37,136.43
2000-02-07,136.35,136.4,136.35,136.4
2000-02-08,136.37,136.4,136.37,136.4
2000-02-09,135.65,135.71,135.65,135.71
2000-02-10,135.29,135.35,135.29,135.35
2000-02-11,134.68,134.68,134.68,134.68
2000-02-14,136.15,136.21,136.15,136.21
2000-02-15,136.03,136.15,136.03,136.15
2000-02-16,135.91,135.97,135.91,135.97
2000-02-17,136.28,136.28,136.28,136.28
2000-02-18,136.4,136.4,136.4,136.4
2000-02-21,136.76,136.82,136.76,136.82
2000-02-22,137.0,137.06,137.0,137.06
2000-02-23,137.11,137.17,137.11,137.17
2000-02-24,138.08,138.14,138.08,138.14
2000-02-25,137.22,137.28,137.22,137.28
2000-02-28,136.98,137.04,136.98,137.04
2000-02-29,136.61,136.63,136.61,136.63
2000-03-01,136.19,136.25,136.19,136.25
2000-03-02,135.17,135.26,135.17,135.26
2000-03-03,135.22,135.28,135.22,135.28
2000-03-06,135.17,135.23,135.17,135.23
2000-03-07,135.11,135.12,135.11,135.12
2000-03-08,135.17,135.18,135.17,135.18
2000-03-09,135.53,135.59,135.53,135.59
2000-03-10,135.17,135.23,135.17,135.23
2000-03-13,135.3,135.36,135.3,135.36
2000-03-14,135.08,135.09,135.08,135.09
2000-03-15,135.08,135.1,135.08,135.1
2000-03-16,134.94,135.0,134.94,135.0
2000-03-17,134.95,134.96,134.95,134.96
2000-03-20,135.03,135.05,135.03,135.05
2000-03-21,134.81,134.87,134.81,134.87
2000-03-22,134.39,134.42,134.39,134.42
2000-03-23,134.02,134.05,134.02,134.05
2000-03-24,133.83,133.89,133.83,133.89
2000-03-27,134.31,134.32,134.31,134.32
2000-03-28,134.31,134.34,134.31,134.34
2000-03-29,133.97,133.99,133.97,133.99
2000-03-30,133.72,133.75,133.72,133.75
2000-03-31,133.48,133.51,133.48,133.51
2000-04-03,134.35,134.39,134.35,134.39
2000-04-04,134.43,134.5,134.43,134.5
2000-04-05,134.61,134.67,134.61,134.67
2000-04-06,134.19,134.25,134.19,134.25
2000-04-07,133.7,133.88,133.7,133.88
2000-04-10,134.0,134.06,134.0,134.06
2000-04-11,134.01,134.04,134.01,134.04
2000-04-12,133.82,133.85,133.82,133.85
2000-04-13,133.58,133.64,133.58,133.64
2000-04-14,134.19,134.2,134.19,134.2
2000-04-17,134.43,134.49,134.43,134.49
2000-04-18,134.07,134.13,134.07,134.13
2000-04-19,133.98,134.0,133.98,134.0
2000-04-20,133.94,133.95,133.94,133.95
2000-04-21,133.89,133.9,133.89,133.9
2000-04-24,133.92,133.93,133.92,133.93
2000-04-25,133.83,133.86,133.83,133.86
2000-04-26,133.82,133.83,133.82,133.83
2000-04-27,134.06,134.12,134.06,134.12
2000-04-28,134.0,134.03,134.0,134.03
2000-05-01,133.94,134.06,133.94,134.06
2000-05-02,134.0,134.04,134.0,134.04
2000-05-03,134.04,134.05,134.04,134.05
2000-05-04,134.18,134.21,134.18,134.21
2000-05-05,134.18,134.24,134.18,134.24
2000-05-08,134.01,134.02,134.01,134.02
2000-05-09,133.95,133.98,133.95,133.98
2000-05-10,133.96,133.97,133.96,133.97
2000-05-11,134.33,134.39,134.33,134.39
2000-05-12,134.46,134.49,134.46,134.49
2000-05-15,134.58,134.71,134.58,134.71
2000-05-16,134.59,134.63,134.59,134.63
2000-05-17,134.71,134.75,134.71,134.75
2000-05-18,135.07,135.12,135.07,135.12
2000-05-19,135.44,135.5,135.44,135.5
2000-05-22,136.58,136.64,136.58,136.64
2000-05-23,136.89,137.01,136.89,137.01
2000-05-24,136.83,136.89,136.83,136.89
2000-05-25,136.49,136.5,136.49,136.5
2000-05-26,137.0,137.13,137.0,137.13
2000-05-29,137.4,137.41,137.4,137.41
2000-05-30,137.24,137.3,137.24,137.3
2000-05-31,136.4,136.46,136.4,136.46
2000-06-01,136.76,136.82,136.76,136.82
2000-06-02,135.92,135.93,135.92,135.93
2000-06-05,134.95,135.01,134.95,135.01
2000-06-06,134.83,134.89,134.83,134.89
2000-06-07,134.48,134.48,134.48,134.48
2000-06-08,134.7,134.76,134.7,134.76
2000-06-09,134.65,134.71,134.65,134.71
2000-06-12,134.5,134.51,134.5,134.51
2000-06-13,134.58,134.61,134.58,134.61
2000-06-14,134.59,134.62,134.59,134.62
2000-06-15,134.65,134.68,134.65,134.68
2000-06-16,134.86,134.87,134.86,134.87
2000-06-19,135.54,135.56,135.54,135.56
2000-06-20,135.19,135.25,135.19,135.25
2000-06-21,135.21,135.22,135.21,135.22
2000-06-22,135.16,135.16,135.16,135.16
2000-06-23,135.2,135.23,135.2,135.23
2000-06-26,135.07,135.08,135.07,135.08
2000-06-27,135.08,135.09,135.08,135.09
2000-06-28,134.82,134.85,134.82,134.85
2000-06-29,134.63,134.66,134.63,134.66
2000-06-30,134.68,134.69,134.68,134.69
2000-07-03,134.53,134.54,134.53,134.54
2000-07-04,134.7,134.71,134.7,134.71
2000-07-05,134.86,134.92,134.86,134.92
2000-07-06,134.86,134.92,134.86,134.92
2000-07-07,135.04,135.1,135.04,135.1
2000-07-10,135.03,135.15,135.03,135.15
2000-07-11,134.79,134.83,134.79,134.83
2000-07-12,134.67,134.73,134.67,134.73
2000-07-13,134.05,134.14,134.05,134.14
2000-07-14,134.38,134.4,134.38,134.4
2000-07-17,134.39,134.42,134.39,134.42
2000-07-18,134.49,134.5,134.49,134.5
2000-07-19,134.32,134.33,134.32,134.33
2000-07-20,134.25,134.25,134.25,134.25
2000-07-21,134.38,134.4,134.38,134.4
2000-07-24,134.53,134.55,134.53,134.55
2000-07-25,134.67,134.73,134.67,134.73
2000-07-26,134.67,134.73,134.67,134.73
2000-07-27,134.55,134.61,134.55,134.61
2000-07-28,134.85,134.88,134.85,134.88
2000-07-31,134.87,134.89,134.87,134.89
2000-08-01,134.77,134.77,134.77,134.77
2000-08-02,134.75,134.76,134.75,134.76
2000-08-03,134.63,134.65,134.63,134.65
2000-08-04,134.67,134.73,134.67,134.73
2000-08-07,134.91,134.95,134.91,134.95
2000-08-08,134.78,134.84,134.78,134.84
2000-08-09,134.58,134.64,134.58,134.64
2000-08-10,134.59,134.6,134.59,134.6
2000-08-11,134.67,134.73,134.67,134.73
2000-08-14,134.79,134.85,134.79,134.85
2000-08-15,134.8,134.82,134.8,134.82
2000-08-16,134.68,134.68,134.68,134.68
2000-08-17,134.54,134.6,134.54,134.6
2000-08-18,134.67,134.67,134.67,134.67
2000-08-21,134.59,134.6,134.59,134.6
2000-08-22,134.53,134.55,134.53,134.55
2000-08-23,134.55,134.61,134.55,134.61
2000-08-24,134.55,134.56,134.55,134.56
2000-08-25,134.54,134.55,134.54,134.55
2000-08-28,134.18,134.24,134.18,134.24
2000-08-29,134.07,134.08,134.07,134.08
2000-08-30,133.9,133.9,133.9,133.9
2000-08-31,133.92,133.93,133.92,133.93
2000-09-01,133.48,133.54,133.48,133.54
2000-09-04,133.39,133.4,133.39,133.4
2000-09-05,133.49,133.51,133.49,133.51
2000-09-06,133.74,133.75,133.74,133.75
2000-09-07,134.07,134.13,134.07,134.13
2000-09-08,133.89,133.95,133.89,133.95
2000-09-11,133.9,133.96,133.9,133.96
2000-09-12,133.96,134.02,133.96,134.02
2000-09-13,133.97,134.03,133.97,134.03
2000-09-14,134.72,134.72,134.72,134.72
2000-09-15,135.29,135.29,135.29,135.29
2000-09-18,135.92,136.82,135.92,136.82
2000-09-19,136.02,136.09,136.02,136.09
2000-09-20,136.03,136.09,136.03,136.09
2000-09-21,136.03,136.15,136.03,136.15
2000-09-22,136.86,137.1,136.86,137.1
2000-09-25,135.76,135.88,135.76,135.88
2000-09-26,135.16,135.22,135.16,135.22
2000-09-27,134.55,134.61,134.55,134.61
2000-09-28,134.75,134.76,134.75,134.76
2000-09-29,134.67,134.68,134.67,134.68
2000-10-02,135.03,135.06,135.03,135.06
2000-10-03,134.92,135.1,134.92,135.1
2000-10-04,135.16,135.22,135.16,135.22
