time,Open,High,Low,Close
2000-01-03,1138.67,1159.36,1132.41,1157.32
2000-01-04,1154.05,1161.38,1145.56,1157.46
2000-01-05,1154.87,1180.91,1153.64,1170.41
2000-01-06,1170.29,1194.27,1168.17,1183.39
2000-01-07,1183.13,1191.03,1165.42,1170.66
2000-01-10,1169.4,1172.06,1156.79,1162.32
2000-01-11,1161.89,1185.14,1159.85,1184.45
2000-01-12,1181.64,1191.42,1173.29,1179.95
2000-01-13,1179.24,1180.8,1161.56,1164.14
2000-01-14,1164.28,1166.67,1136.25,1139.4
2000-01-17,1138.05,1142.66,1127.39,1133.66
2000-01-18,1133.44,1142.55,1130.75,1141.2
2000-01-19,1141.2,1151.86,1140.98,1147.78
2000-01-20,1148.18,1150.46,1132.88,1145.14
2000-01-21,1144.24,1149.43,1132.18,1137.82
2000-01-24,1129.37,1133.47,1123.44,1132.4
2000-01-25,1132.21,1137.32,1125.31,1127.74
2000-01-26,1128.13,1133.87,1125.96,1128.9
2000-01-27,1128.89,1129.62,1109.92,1112.01
2000-01-28,1110.94,1113.01,1090.1,1092.93
2000-01-31,1095.02,1106.44,1085.72,1089.23
2000-02-01,1089.42,1101.99,1085.2,1095.01
2000-02-02,1093.8,1108.85,1092.9,1103.54
2000-02-03,1102.88,1124.18,1095.92,1119.21
2000-02-04,1118.88,1122.88,1100.21,1110.13
2000-02-07,1110.26,1111.11,1100.81,1107.74
2000-02-08,1107.47,1119.82,1103.64,1113.16
2000-02-09,1112.63,1119.68,1107.42,1116.76
2000-02-10,1116.26,1117.2,1100.74,1103.91
2000-02-11,1103.09,1105.56,1090.92,1100.39
2000-02-14,1099.5,1117.68,1098.07,1103.49
2000-02-15,1101.98,1111.51,1099.09,1106.09
2000-02-16,1104.49,1111.54,1101.26,1110.64
2000-02-17,1109.59,1123.32,1108.35,1114.41
2000-02-18,1114.13,1119.56,1106.87,1113.7
2000-02-21,1111.5,1120.2,1109.53,1118.28
2000-02-22,1117.62,1143.58,1117.28,1139.04
2000-02-23,1138.2,1146.24,1132.36,1138.91
2000-02-24,1138.86,1145.7,1128.56,1135.66
2000-02-25,1134.54,1135.54,1104.19,1107.46
2000-02-28,1107.15,1107.87,1061.07,1102.39
2000-02-29,1101.79,1115.61,1087.36,1091.01
2000-03-01,1090.53,1102.12,1087.25,1098.16
2000-03-02,1097.28,1099.04,1075.58,1079.88
2000-03-03,1079.28,1085.98,1073.04,1075.09
2000-03-06,1070.37,1082.88,1069.03,1074.05
2000-03-07,1072.9,1076.88,1065.26,1073.52
2000-03-08,1071.52,1078.2,1065.18,1075.29
2000-03-09,1074.8,1089.04,1074.8,1084.89
2000-03-10,1084.41,1086.23,1073.68,1078.41
2000-03-13,1076.93,1090.48,1075.81,1080.67
2000-03-14,1079.01,1082.8,1072.58,1082.12
2000-03-15,1082.53,1086.31,1077.5,1082.06
2000-03-16,1080.18,1088.61,1077.46,1085.49
2000-03-17,1082.93,1087.14,1078.66,1086.36
2000-03-20,1086.48,1089.62,1082.24,1088.13
2000-03-21,1087.83,1089.15,1074.82,1076.41
2000-03-22,1072.7,1073.55,1065.11,1069.63
2000-03-23,1068.56,1079.68,1065.01,1078.45
2000-03-24,1077.77,1083.89,1071.81,1083.34
2000-03-27,1082.41,1087.37,1070.86,1075.13
2000-03-28,1075.19,1079.1,1067.3,1068.65
2000-03-29,1067.63,1068.21,1050.98,1055.35
2000-03-30,1054.53,1065.5,1052.42,1064.07
2000-03-31,1063.94,1066.12,1053.18,1056.79
2000-04-03,1056.38,1068.71,1053.79,1062.59
2000-04-04,1060.59,1085.88,1058.76,1069.4
2000-04-05,1069.82,1082.89,1067.37,1072.97
2000-04-06,1070.14,1073.41,1062.45,1064.7
2000-04-07,1064.45,1066.22,1055.32,1058.51
2000-04-10,1056.41,1068.82,1054.75,1068.82
