time,Open,High,Low,Close
2000-01-03,1357.815,1366.678,1357.815,1366.58
2000-01-04,1368.693,1407.518,1361.214,1406.37
2000-01-05,1407.829,1433.78,1398.323,1409.68
2000-01-06,1406.036,1463.955,1400.253,1463.94
2000-01-07,1477.154,1522.825,1477.154,1516.6
2000-01-10,1531.712,1546.723,1506.404,1545.11
2000-01-11,1547.678,1547.708,1468.757,1547.68
2000-01-12,1473.761,1489.28,1434.996,1473.76
2000-01-13,1437.453,1444.066,1418.814,1437.45
2000-01-14,1426.224,1433.474,1401.706,1426.22
2000-01-17,1408.988,1433.383,1402.663,1433.33
2000-01-18,1436.888,1443.592,1421.642,1436.89
2000-01-19,1425.874,1443.672,1425.143,1440.72
2000-01-20,1443.094,1466.901,1443.094,1466.86
2000-01-21,1471.905,1476.456,1458.925,1471.91
2000-01-24,1465.858,1477.412,1449.472,1477.34
2000-01-25,1483.033,1490.464,1467.438,1483.03
2000-01-26,1477.295,1482.464,1469.98,1481.12
2000-01-27,1490.447,1506.922,1485.234,1506.77
2000-01-28,1514.558,1536.346,1510.745,1535.0
2000-01-31,1535.0,1535.0,1535.0,1535.0
2000-02-01,1535.0,1535.0,1535.0,1535.0
2000-02-02,1535.0,1535.0,1535.0,1535.0
2000-02-03,1535.0,1535.0,1535.0,1535.0
2000-02-04,1535.0,1535.0,1535.0,1535.0
2000-02-07,1535.0,1535.0,1535.0,1535.0
2000-02-08,1535.0,1535.0,1535.0,1535.0
2000-02-09,1535.0,1535.0,1535.0,1535.0
2000-02-10,1535.0,1535.0,1535.0,1535.0
2000-02-11,1535.0,1535.0,1535.0,1535.0
2000-02-14,1591.445,1674.132,1587.818,1673.94
2000-02-15,1709.224,1746.443,1663.005,1709.22
2000-02-16,1674.936,1695.881,1649.699,1693.11
2000-02-17,1734.268,1770.88,1615.629,1734.27
2000-02-18,1623.961,1668.164,1583.582,1668.09
2000-02-21,1681.361,1697.01,1652.476,1681.36
2000-02-22,1681.299,1687.511,1627.467,1681.3
2000-02-23,1618.008,1630.546,1586.634,1618.01
2000-02-24,1593.948,1634.323,1593.929,1634.31
2000-02-25,1639.919,1650.365,1618.177,1639.92
2000-02-28,1639.799,1704.884,1639.696,1704.85
2000-02-29,1728.136,1733.141,1678.35,1728.14
2000-03-01,1720.597,1721.14,1692.509,1720.6
2000-03-02,1697.562,1721.598,1682.535,1713.01
2000-03-03,1728.355,1750.645,1721.705,1738.02
2000-03-06,1756.313,1762.829,1678.744,1756.31
2000-03-07,1661.948,1694.887,1654.444,1694.8
2000-03-08,1699.462,1726.043,1690.117,1726.03
2000-03-09,1734.767,1741.224,1714.921,1734.77
2000-03-10,1731.94,1743.139,1701.793,1731.94
2000-03-13,1706.769,1729.007,1706.349,1728.89
2000-03-14,1690.653,1700.373,1636.893,1690.65
2000-03-15,1680.296,1695.162,1676.544,1681.47
2000-03-16,1671.097,1671.178,1596.072,1671.1
2000-03-17,1602.363,1661.976,1602.335,1658.6
2000-03-20,1646.31,1699.281,1641.765,1699.25
2000-03-21,1704.085,1713.205,1692.684,1710.32
2000-03-22,1713.241,1726.59,1711.158,1720.45
2000-03-23,1724.188,1747.283,1711.405,1747.24
2000-03-24,1761.444,1770.263,1729.483,1761.44
2000-03-27,1736.696,1776.021,1736.696,1775.91
2000-03-28,1788.827,1799.952,1774.482,1791.44
2000-03-29,1797.881,1803.827,1763.62,1797.88
2000-03-30,1793.676,1811.063,1790.849,1810.98
2000-03-31,1810.553,1810.897,1780.411,1810.55
2000-04-03,1799.575,1816.86,1798.254,1801.0
2000-04-04,1795.161,1795.161,1755.98,1795.16
2000-04-05,1756.3,1776.715,1746.302,1771.2
2000-04-06,1775.784,1809.169,1775.676,1809.14
2000-04-07,1816.786,1822.615,1807.543,1819.9
2000-04-10,1826.611,1831.853,1815.991,1826.61
2000-04-11,1826.403,1828.057,1812.008,1826.4
2000-04-12,1822.398,1823.832,1785.327,1822.4
2000-04-13,1807.837,1832.083,1807.712,1831.55
2000-04-14,1835.861,1840.189,1820.672,1835.86
2000-04-17,1829.615,1829.929,1778.878,1829.61
2000-04-18,1794.339,1813.571,1779.294,1813.49
2000-04-19,1819.081,1831.57,1817.211,1828.71
